dialogue_id,turn,Model,words,sentences,simple_quest,whq,imper_quest,places,sensitive_data,relatives,first_names,conditional_vb,gratitude,thanksgiving,excuses,greetings,self_references,you_references,neutral_references,neg,pos,neu
MUL0268.json,I need a train to stansted airport that leaves after 21:30. I am also going to be looking for local places to eat.,1,23,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
MUL0268.json,"I will take a seat on the 22:08 departure as long as it departs from Cambridge on Friday. Yes, please find a restaurant.",1,23,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0.0,0.217,0.783
MUL0268.json,5 people for the train please.,1,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.365,0.635
MUL0268.json,Yes I am also looking for a restaurant in the centre of town in the expensive price range.,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.153,0.847
MUL0268.json,"Perfect, can you book it for 5 people on the same day at 16:30?",1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.236,0.764
MUL0268.json,Can we try for 15:30? I also need the reference number for the train booking.,1,15,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.091,0.909
MUL0268.json,"That's all, thank you.",1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.455,0.545
MUL0268.json,"Yes, I'm sure. Thanks.",1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.888,0.112
SSNG0112.json,I am looking for a place to eat in town centre.,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
SSNG0112.json,It doesn't matter as long as it is cheap.,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.118,0.0,0.882
SSNG0112.json,I don't care about the cuisine. Would you book a table for 4 people at 16:00 on Wednesday?,1,19,2,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0.158,0.0,0.842
SSNG0112.json,That will be all. Thank you very much for your help.,1,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.366,0.634
MUL0882.json,"Hi, I'm interested in finding something to do on the north end of town. Are there any boats there that I might be able to visit?",1,27,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.101,0.899
MUL0882.json,Yes please. I would like to get the address and postcode for the riverboat.,1,14,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.429,0.571
MUL0882.json,"Ok, I need a restaurant in the north side that serves chinese as well.",1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.301,0.699
MUL0882.json,Whichever one would be able to be booked for 4 people at 13:00 on thursday.,1,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
